Ticker,2016,2017,2018,2019
AAPL,11.760915472997786,39.51745231850199,-5.540897030534502,63.635357535431275
ABBV,9.341714898423037,47.04717342625796,-0.9610850784550717,2.9213723405961414
ABT,-13.148335959665154,41.88957174133302,25.51215185642571,19.950791017890996
ACN,13.410867676226767,28.770155203239938,-6.4311243344566185,41.35232670289036
ADBE,9.158710244440584,53.19130871445583,25.54399133306369,37.6920320199995
AIG,7.4789188961489605,-7.111350894770691,-38.70194277132747,28.953654657939325
ALL,19.65859130270109,36.217187490403546,-21.71630756815409,32.801742316615005
AMGN,-7.856736646518666,20.104708736405083,14.178663831349084,24.373867166571834
AMT,10.63799413110135,32.001491003686546,12.507471361558494,39.11369503596495
AMZN,10.386948840345289,44.44060574043859,25.022693053816294,20.723981051912382
AXP,8.233721552683976,30.907428159630882,-2.6550857466980338,28.154348093275694
BA,11.48329704026474,66.6367233979673,10.886924599935645,3.2837222508243937
BAC,28.794554503650783,30.51671890930826,-16.247864198542736,37.97384496362785
BIIB,-7.723403429013533,11.634802859008964,-5.699776116418579,-1.4021820402275553
BK,15.742527140123807,14.56180442979224,-11.480891553713189,9.127410477455946
BKNG,13.967164684298984,17.000684209434297,-0.8855108408959429,17.5927338049264
BLK,13.660855381435592,32.3524865580859,-24.335435114815077,27.661127107469813
BMY,-14.492260341662952,7.426162644295181,-13.806397993293789,24.481194259763488
BRK.B,21.05226153784305,19.575006067427672,2.962439343393049,10.374302146569498
C,14.758619590268914,23.922680225234505,-33.52808517206556,45.628751772542635
CAT,36.434680833609264,55.98078784842759,-19.30764499497189,17.826011112542513
CHTR,45.2650224472763,15.43093695463186,-16.46081633891801,53.1929883909546
CL,0.4388119131107573,16.453034530943683,-21.308726849568163,17.055306433906686
CMCSA,22.303714066634242,16.090006084096334,-13.59435498808592,29.298733308742808
COF,21.81361392576556,15.606650401816948,-25.833163381035817,32.65428923057943
COP,9.650993013235572,11.285054087377338,14.52154463853718,6.418781051585543
COST,0.2773812456719761,20.18958611743126,10.074351845649007,37.63843147595192
CRM,-13.557433437159697,40.09755876195464,29.253672493308414,17.177723212394397
CSCO,14.09235564164822,27.20728657466701,15.333554091734282,12.938324297411997
CVS,-19.638441687934,-5.924347791921318,-7.296103788645735,15.922447108210555
CVX,31.233637649140046,10.06558601914583,-10.255811135220059,14.21388133574793
DD,13.017055109821351,26.548115252171513,-23.761363998418528,-14.01189322481952
DHR,49.069662364316486,18.243103582351083,11.15816855700136,40.248612262987464
DIS,0.6697344093891056,4.650359409050223,3.5442601353309544,28.903242943892188
DUK,12.607132999995935,12.182615310729208,7.152575435174521,9.79152125350162
EMR,20.00676428870879,25.502805339764357,-12.638600050106666,27.410203002168437
EXC,29.373537413517045,14.049424802581852,16.82944847852714,4.186650780128284
F,-10.321739668105575,7.970166776211009,-43.39087861309074,25.958912043685963
FB,9.464980339393879,42.77274189060107,-29.721018176667553,44.83446686362076
FDX,23.166252815496595,30.16808902880179,-42.57771078430109,-4.89563162373907
GD,25.041845664824415,18.110814758727095,-24.004712407712105,13.797942092662417
GE,4.637257964687583,-54.36032645828571,-80.60848395605544,43.137108331248996
GILD,-32.28882435715518,2.914469846594669,-10.447067004349494,7.5855162221668415
GM,7.191512681329882,21.32944181875702,-16.3182738114849,13.118919399391515
GOOG,1.6907702568395901,30.43596323523904,-1.0365114054239792,25.545266122735114
GS,29.953482773082108,7.449548079198092,-40.83479061921918,33.988777341128866
HD,3.480205720601178,36.888959866241926,-7.575315815230831,26.666126696446256
HON,14.030039321440173,30.172707639957903,-8.563741368303258,31.258295658189745
IBM,23.437932113088458,-4.069511344091643,-25.564099600329055,21.16868838195278
INTC,8.394031352706953,26.903540096868454,4.139639992616341,26.782597738616865
JNJ,14.262038587448513,21.853471094371848,-5.267809439637958,15.031506965270893
JPM,29.66645019194527,24.285865338325657,-6.8533597410387825,38.70094425873525
KHC,21.058098457094122,-8.742103190948404,-54.90147032353144,-23.82817329260202
KMI,36.398065138521645,-11.164766465391113,-11.861369118849638,36.76058330300792
KO,-0.3577189241517844,13.437415277698015,6.553947328631044,18.730444733855308
LLY,-10.293558866215145,16.410942950197576,33.969303848886604,14.96257292550512
LMT,16.865873177194803,27.585727050177688,-17.84797654674284,42.230018996535456
LOW,-5.003735659360963,28.73568525545643,1.2094245501886403,27.94057376449725
MA,6.679031318908032,38.99153832277237,22.56436122835665,46.47273092763084
MCD,6.021168710165877,37.19102404905083,5.618295033748079,13.077800719229423
MDLZ,0.5636895756194065,-1.5898673155395255,-4.362036736739407,33.94953563196414
MDT,-5.5900743912893995,14.75209194135568,14.136809727495582,24.167651283642904
MET,15.15888788813376,8.36021149109341,-17.156293053690945,25.337894687458096
MMM,19.65263459600637,29.93914443995326,-18.511506607015942,-4.385579766670536
MO,18.595619646810906,9.025394510801982,-31.666134499677998,7.575701004536237
MRK,14.023260358008432,-1.4976340365779326,33.614274862740615,20.10731498906851
MS,30.80227204803917,23.591701075408288,-25.824535344735725,28.272458843190964
MSFT,14.043754457048884,34.16774574091291,18.89270738675955,45.46240787873995
NEE,17.682261314795735,29.560621480671397,13.36888399459972,35.54754212506382
NFLX,7.914117222431958,43.86196689728456,33.24304798565866,18.969796216212693
NKE,-19.206992021499868,22.073926664376707,18.122233935102926,32.27649442401985
NVDA,118.4668287051277,59.877012817174794,-36.83896931432274,57.06577118405505
ORCL,6.659802432813175,22.263821366430566,-3.014556320664824,17.683385172219236
OXY,9.502675618972344,8.144715920992459,-13.982458454071905,-33.244435890955394
